Absolutely. Here are Batch D full packs (GI + NEURO + GU) in the same “data-only / GENERIC_V1” style as Batch C:

COMPLAINT_REGISTRY (22 rows)

CORE_QUESTIONS (one row per question)

RED_FLAGS (explicit, severity-appropriate)

CLUSTER_SCORING_RULES (includes a few negative suppressors)

DISP_RULES (priority-ordered)

OUTPUT_TEMPLATES (stable IDs)

GOLDENS (10 per complaint = 220 cases)

Everything below is copy/paste-ready CSV blocks.

1) COMPLAINT_REGISTRY (Batch D)
Complaint_Slug,System,Display_Name,Version,Pipeline,Aliases
gi_abdominal_pain,GI,Abdominal Pain,GENERIC_V1,GENERIC_V1,"abd pain|stomach pain|belly pain|tummy pain|abdominal cramping"
gi_diarrhea,GI,Diarrhea,GENERIC_V1,GENERIC_V1,"diarrhea|loose stools|watery stool|the runs"
gi_vomiting,GI,Vomiting / Nausea,GENERIC_V1,GENERIC_V1,"vomiting|throwing up|nausea|emesis"
gi_gi_bleeding,GI,GI Bleeding,GENERIC_V1,GENERIC_V1,"blood in stool|black stool|melena|hematochezia|vomiting blood|hematemesis"
gi_constipation,GI,Constipation,GENERIC_V1,GENERIC_V1,"constipation|no poop|hard stool|can't go"
gi_jaundice,GI,Jaundice / Yellow Eyes,GENERIC_V1,GENERIC_V1,"jaundice|yellow eyes|yellow skin|dark urine|pale stool"
gi_dysphagia,GI,Trouble Swallowing,GENERIC_V1,GENERIC_V1,"dysphagia|food stuck|can't swallow|painful swallow|odynophagia"
gi_acute_pancreatitis_like,GI,Severe Epigastric Pain (Pancreatitis-like),GENERIC_V1,GENERIC_V1,"epigastric pain|upper stomach pain|pain to back|pancreatitis"

neuro_headache,NEURO,Headache,GENERIC_V1,GENERIC_V1,"headache|migraine|pressure in head|head pain"
neuro_dizziness_vertigo,NEURO,Dizziness / Vertigo,GENERIC_V1,GENERIC_V1,"dizzy|vertigo|room spinning|lightheaded|off balance"
neuro_weakness_numbness,NEURO,Weakness / Numbness,GENERIC_V1,GENERIC_V1,"weakness|numbness|tingling|one-sided weakness|can't move"
neuro_seizure,NEURO,Seizure,GENERIC_V1,GENERIC_V1,"seizure|convulsion|shaking episode|passed out shaking"
neuro_syncope,NEURO,Syncope / Fainting,GENERIC_V1,GENERIC_V1,"syncope|fainted|passed out|blackout"
neuro_confusion_ams,NEURO,Confusion / Altered Mental Status,GENERIC_V1,GENERIC_V1,"confusion|delirium|altered mental status|AMS|not acting right"

gu_dysuria_uti,GU,Dysuria / UTI Symptoms,GENERIC_V1,GENERIC_V1,"burning urination|uti|pee burns|frequency|urgency"
gu_flank_pain,GU,Flank Pain,GENERIC_V1,GENERIC_V1,"flank pain|kidney pain|side pain|back pain one side"
gu_testicular_pain,GU,Testicular Pain / Swelling,GENERIC_V1,GENERIC_V1,"testicle pain|scrotal pain|swollen testicle"
gu_hematuria,GU,Hematuria (Blood in Urine),GENERIC_V1,GENERIC_V1,"hematuria|blood in urine|pink urine|red urine"
gu_urinary_retention,GU,Urinary Retention,GENERIC_V1,GENERIC_V1,"can't pee|urinary retention|blocked urine|no urine"
gu_sti_exposure_discharge,GU,STI Exposure / Genital Discharge,GENERIC_V1,GENERIC_V1,"sti exposure|discharge|std|urethritis|genital discharge"
gu_pelvic_pain_possible_ovarian_torsion,GU,Pelvic Pain (Torsion/Ectopic/PID),GENERIC_V1,GENERIC_V1,"pelvic pain|ovary pain|one-sided pelvic pain|torsion|ectopic"
gu_vaginal_bleeding,GU,Vaginal Bleeding,GENERIC_V1,GENERIC_V1,"vaginal bleeding|heavy period|bleeding pregnant|spotting|postpartum bleeding"
2) CORE_QUESTIONS (Batch D)
Complaint_Slug,Question_ID,Question_Text,Type,Options
gi_acute_pancreatitis_like,sev,Severity 0-10?,number,

neuro_headache,thunder,Sudden thunderclap/worst headache?,boolean,
neuro_headache,neurodef,New weakness/numbness/speech/vision change?,boolean,
neuro_headache,fever_neck,Fever with neck stiffness or confusion?,boolean,
neuro_headache,preg_postpartum,Pregnant or postpartum?,boolean,
neuro_headache,trauma,Recent head trauma?,boolean,
neuro_headache,age50,Age > 50 with new headache?,boolean,
neuro_headache,eye,Eye pain/vision loss?,boolean,

neuro_dizziness_vertigo,kind,Feels like spinning vs faint/lightheaded?,enum,"spinning|lightheaded|off_balance"
neuro_dizziness_vertigo,neurodef,New weakness/numbness/speech trouble or cannot walk?,boolean,
neuro_dizziness_vertigo,headache,Severe headache?,boolean,
neuro_dizziness_vertigo,cardiac,Chest pain/SOB/palpitations?,boolean,
neuro_dizziness_vertigo,vomit,Persistent vomiting?,boolean,
neuro_dizziness_vertigo,ear,Unilateral hearing loss/tinnitus?,boolean,

neuro_weakness_numbness,sudden,Sudden onset?,boolean,
neuro_weakness_numbness,face_speech,Facial droop or speech difficulty?,boolean,
neuro_weakness_numbness,one_side,One-sided symptoms?,boolean,
neuro_weakness_numbness,vision,Vision loss/double vision?,boolean,
neuro_weakness_numbness,spinal,Severe back pain, saddle anesthesia, or new bladder/bowel issues?,boolean,
neuro_weakness_numbness,fever,Fever?,boolean,

neuro_seizure,first,First seizure ever?,boolean,
neuro_seizure,ongoing,Ongoing seizure or repeated without recovery?,boolean,
neuro_seizure,injury,Head injury during event?,boolean,
neuro_seizure,preg_postpartum,Pregnant or postpartum?,boolean,
neuro_seizure,fever,Fever/meningitis symptoms?,boolean,
neuro_seizure,metabolic,Diabetes/low sugar/toxin risk?,boolean,

neuro_syncope,exert,Occurred with exertion?,boolean,
neuro_syncope,cardiac,Chest pain/palpitations/SOB?,boolean,
neuro_syncope,injury,Head injury from fall?,boolean,
neuro_syncope,neurodef,New neurologic deficits afterward?,boolean,
neuro_syncope,bleed,Black stools/vomiting blood/heavy bleeding?,boolean,
neuro_syncope,preg,Pregnant?,boolean,

neuro_confusion_ams,sudden,Sudden onset?,boolean,
neuro_confusion_ams,fever,Fever?,boolean,
neuro_confusion_ams,headache,Severe headache/neck stiffness?,boolean,
neuro_confusion_ams,stroke_signs,New weakness/speech/vision changes?,boolean,
neuro_confusion_ams,low_glucose,Diabetes or possible low sugar?,boolean,
neuro_confusion_ams,toxic,Possible intoxication/overdose?,boolean,

gu_dysuria_uti,fever,Fever/chills?,boolean,
gu_dysuria_uti,flank,Flank pain?,boolean,
gu_dysuria_uti,preg,Pregnant?,boolean,
gu_dysuria_uti,male,Male anatomy?,boolean,
gu_dysuria_uti,discharge,Genital discharge or STI risk?,boolean,
gu_dysuria_uti,vomit,Vomiting/unable to keep fluids?,boolean,

gu_flank_pain,fever,Fever/chills?,boolean,
gu_flank_pain,urinary,Urinary symptoms (burning/urgency/foul)?,boolean,
gu_flank_pain,hematuria,Blood in urine?,boolean,
gu_flank_pain,colicky,Severe colicky waves of pain?,boolean,
gu_flank_pain,vomit,Vomiting?,boolean,
gu_flank_pain,preg,Pregnant?,boolean,

gu_testicular_pain,sudden,Sudden severe pain?,boolean,
gu_testicular_pain,high_riding,High-riding or abnormal lie?,boolean,
gu_testicular_pain,nausea,Nausea/vomiting?,boolean,
gu_testicular_pain,fever,Fever?,boolean,
gu_testicular_pain,discharge,Urethral discharge or STI risk?,boolean,
gu_testicular_pain,trauma,Recent trauma?,boolean,

gu_hematuria,clots,Clots or trouble urinating?,boolean,
gu_hematuria,stone_pain,Severe flank pain/colic?,boolean,
gu_hematuria,fever,Fever/chills?,boolean,
gu_hematuria,blood_thinner,Blood thinners?,boolean,
gu_hematuria,trauma,Recent trauma?,boolean,

gu_urinary_retention,unable,Unable to urinate at all?,boolean,
gu_urinary_retention,pain,Severe lower abdominal pain/distension?,boolean,
gu_urinary_retention,fever,Fever/chills?,boolean,
gu_urinary_retention,neuro,New leg weakness/numbness or saddle anesthesia?,boolean,
gu_urinary_retention,blood,Blood/clots in urine?,boolean,

gu_sti_exposure_discharge,fever,Fever?,boolean,
gu_sti_exposure_discharge,pelvic,Pelvic/lower abdominal pain?,boolean,
gu_sti_exposure_discharge,testis,Testicular pain/swelling?,boolean,
gu_sti_exposure_discharge,preg,Pregnant?,boolean,
gu_sti_exposure_discharge,ulcers,Painful ulcers/blisters?,boolean,
gu_sti_exposure_discharge,assault,Sexual assault concern?,boolean,

gu_pelvic_pain_possible_ovarian_torsion,sudden,Sudden severe one-sided pelvic pain?,boolean,
gu_pelvic_pain_possible_ovarian_torsion,preg,Possibility of pregnancy?,boolean,
gu_pelvic_pain_possible_ovarian_torsion,bleed,Vaginal bleeding?,boolean,
gu_pelvic_pain_possible_ovarian_torsion,fever,Fever?,boolean,
gu_pelvic_pain_possible_ovarian_torsion,discharge,Abnormal discharge or STI risk?,boolean,
gu_pelvic_pain_possible_ovarian_torsion,vomit,Nausea/vomiting?,boolean,

gu_vaginal_bleeding,preg,Pregnant or possibly pregnant?,boolean,
gu_vaginal_bleeding,heavy,Heavy bleeding (soaking pad hourly) or large clots?,boolean,
gu_vaginal_bleeding,faint,Dizziness/fainting?,boolean,
gu_vaginal_bleeding,pain,Severe pelvic/abdominal pain?,boolean,
gu_vaginal_bleeding,postpartum,Recently postpartum?,boolean
3) RED_FLAGS (Batch D)
Complaint_Slug,RedFlag_ID,Logic,Disposition,Reason
gi_abdominal_pain,peritonitis,"peritoneal=true OR sev>=8",EMERG,"Possible surgical abdomen/peritonitis"
gi_abdominal_pain,gi_bleed,"blood=true",EMERG,"Possible GI bleeding"
gi_abdominal_pain,preg_acute,"preg=true AND onset=sudden",EMERG,"Pregnancy + acute pain (ectopic concern)"
gi_abdominal_pain,cardiac_mimic,"chest=true",EMERG,"Possible cardiac/PE mimic"
gi_abdominal_pain,torsion_mimic,"testis=true",EMERG,"Possible torsion (time-sensitive)"

gi_diarrhea,instability,"dehyd=true",EMERG,"Dehydration/instability"
gi_diarrhea,bloody,"blood=true",URGENT,"Bloody diarrhea"
gi_diarrhea,toxic,"abdsev=true AND fever=true",URGENT,"Possible invasive infection"
gi_diarrhea,c_diff_risk,"abx=true AND dur>=3",URGENT,"C. diff risk"

gi_vomiting,gi_bleed,"blood=true",EMERG,"Possible GI bleed"
gi_vomiting,obstruction,"bilious=true AND abdsev=true",EMERG,"Possible obstruction"
gi_vomiting,neuro,"neuro=true",EMERG,"Possible CNS cause"
gi_vomiting,dehyd,"dehyd=true",URGENT,"Dehydration risk"

gi_gi_bleeding,instability,"heavy=true OR faint=true OR cp=true",EMERG,"Hemodynamic risk"
gi_gi_bleeding,anticoag,"blood_thinner=true",EMERG,"Bleeding on anticoagulation"
gi_gi_bleeding,pain,"abdsev=true",EMERG,"Bleeding + severe pain"

gi_constipation,obstruction,"vomit=true AND (no_gas=true OR abdsev=true)",EMERG,"Possible obstruction"
gi_constipation,bleed,"blood=true",URGENT,"Bleeding"
gi_constipation,toxic,"fever=true AND abdsev=true",URGENT,"Systemic illness + pain"

gi_jaundice,cholangitis,"pain_ruq=true AND fever=true AND dark_urine=true",EMERG,"Possible ascending cholangitis"
gi_jaundice,liver_fail,"confusion=true OR bleed=true",EMERG,"Possible acute liver failure/encephalopathy"

gi_dysphagia,airway,"sob=true OR drool=true",EMERG,"Airway/obstruction risk"
gi_dysphagia,boerhaave,"chest_pain=true",EMERG,"Possible esophageal rupture"
gi_dysphagia,impaction,"food_stuck=true",URGENT,"Possible food bolus impaction"

gi_acute_pancreatitis_like,severe,"sev>=8",EMERG,"Severe pain needs urgent eval"
gi_acute_pancreatitis_like,systemic,"fever=true",URGENT,"Systemic features"

neuro_headache,sah,"thunder=true",EMERG,"Possible SAH"
neuro_headache,stroke,"neurodef=true",EMERG,"Possible stroke"
neuro_headache,meningitis,"fever_neck=true",EMERG,"Possible meningitis/encephalitis"
neuro_headache,trauma,"trauma=true",EMERG,"Possible ICH"
neuro_headache,vision,"eye=true",EMERG,"Vision-threatening cause"

neuro_dizziness_vertigo,stroke,"neurodef=true OR kind=off_balance",EMERG,"Possible posterior circulation stroke"
neuro_dizziness_vertigo,cardiac,"cardiac=true",EMERG,"Possible cardiac cause"
neuro_dizziness_vertigo,central_headache,"headache=true",EMERG,"Central cause concern"

neuro_weakness_numbness,stroke,"sudden=true AND (face_speech=true OR one_side=true OR vision=true)",EMERG,"Possible stroke/TIA"
neuro_weakness_numbness,spinal,"spinal=true",EMERG,"Possible cauda equina/spinal cord emergency"

neuro_seizure,all,"first=true OR ongoing=true OR injury=true OR preg_postpartum=true OR fever=true OR metabolic=true",EMERG,"Seizure needs ED eval / status / pregnancy / infection / metabolic / trauma risk"

neuro_syncope,cardiac,"exert=true OR cardiac=true",EMERG,"Possible cardiac syncope"
neuro_syncope,stroke,"neurodef=true",EMERG,"Possible stroke"
neuro_syncope,trauma,"injury=true",EMERG,"Head injury risk"
neuro_syncope,bleed,"bleed=true",EMERG,"Possible hemorrhage"
neuro_syncope,preg,"preg=true",EMERG,"Pregnancy + syncope"

neuro_confusion_ams,all,"stroke_signs=true OR (fever=true AND headache=true) OR low_glucose=true OR toxic=true OR sudden=true",EMERG,"AMS with stroke/infection/metabolic/toxic concern"

gu_dysuria_uti,pyelo,"fever=true AND flank=true",EMERG,"Pyelonephritis/sepsis risk"
gu_dysuria_uti,preg,"preg=true",URGENT,"UTI in pregnancy"
gu_dysuria_uti,vomit,"vomit=true",URGENT,"Unable to tolerate PO"

gu_flank_pain,pyelo,"fever=true AND urinary=true",EMERG,"Pyelonephritis concern"
gu_flank_pain,infected_stone,"fever=true AND hematuria=true",EMERG,"Obstructing infected stone risk"
gu_flank_pain,preg,"preg=true",URGENT,"Pregnancy + flank pain"

gu_testicular_pain,torsion,"sudden=true OR high_riding=true OR nausea=true",EMERG,"Possible testicular torsion"

gu_hematuria,retention,"clots=true",EMERG,"Clot retention risk"
gu_hematuria,infected_stone,"fever=true AND stone_pain=true",EMERG,"Obstructing infected stone"
gu_hematuria,trauma,"trauma=true",EMERG,"Trauma-related bleeding"

gu_urinary_retention,ces,"neuro=true",EMERG,"Possible cauda equina/spinal emergency"
gu_urinary_retention,clots,"blood=true",EMERG,"Clot retention"
gu_urinary_retention,acute,"unable=true AND pain=true",EMERG,"Acute retention needs decompression"

gu_sti_exposure_discharge,testis,"testis=true",EMERG,"Testicular pain needs torsion exclusion"
gu_sti_exposure_discharge,pid,"pelvic=true AND fever=true",URGENT,"Possible PID"
gu_sti_exposure_discharge,assault,"assault=true",URGENT,"Time-sensitive care/support"

gu_pelvic_pain_possible_ovarian_torsion,torsion,"sudden=true AND vomit=true",EMERG,"Possible ovarian torsion"
gu_pelvic_pain_possible_ovarian_torsion,ectopic,"preg=true AND bleed=true",EMERG,"Possible ectopic pregnancy"
gu_pelvic_pain_possible_ovarian_torsion,pid,"fever=true AND discharge=true",URGENT,"PID concern"

gu_vaginal_bleeding,hemodynamic,"heavy=true OR faint=true",EMERG,"Hemodynamic risk"
gu_vaginal_bleeding,preg,"preg=true",EMERG,"Pregnancy bleeding (ectopic/miscarriage)"
gu_vaginal_bleeding,postpartum,"postpartum=true",EMERG,"Postpartum hemorrhage concern"
gu_vaginal_bleeding,pain,"pain=true",URGENT,"Severe pain with bleeding"
4) CLUSTER_SCORING_RULES (Batch D)

Format: one rule per row, points can be negative.

Complaint_Slug,Dx_ID,Rule_ID,Logic,Points
gi_abdominal_pain,gastroenteritis,ge_1,"vomit=true",1
gi_abdominal_pain,gastroenteritis,ge_2,"fever=true",1
gi_abdominal_pain,gastroenteritis,ge_3,"loc=diffuse",1
gi_abdominal_pain,appendicitis,app_1,"loc=rlq",3
gi_abdominal_pain,appendicitis,app_2,"fever=true",1
gi_abdominal_pain,appendicitis,app_3,"vomit=true",1
gi_abdominal_pain,cholecystitis,chole_1,"loc=ruq",3
gi_abdominal_pain,cholecystitis,chole_2,"fever=true",1
gi_abdominal_pain,cholecystitis,chole_3,"vomit=true",1
gi_abdominal_pain,diverticulitis,div_1,"loc=llq",3
gi_abdominal_pain,diverticulitis,div_2,"fever=true",1
gi_abdominal_pain,obstruction,obs_1,"vomit=true",2
gi_abdominal_pain,obstruction,obs_2,"sev>=7",1
gi_abdominal_pain,obstruction,obs_3,"loc=diffuse",1
gi_abdominal_pain,appendicitis,neg_app_lowsev,"sev<=3",-2

gi_diarrhea,viral_gastro,vg_1,"dur<=7",2
gi_diarrhea,viral_gastro,vg_2,"blood=false",2
gi_diarrhea,viral_gastro,vg_3,"fever=false",1
gi_diarrhea,invasive_bacterial,ib_1,"blood=true",3
gi_diarrhea,invasive_bacterial,ib_2,"fever=true",2
gi_diarrhea,invasive_bacterial,ib_3,"abdsev=true",1
gi_diarrhea,c_diff,cd_1,"abx=true",3
gi_diarrhea,c_diff,cd_2,"dur>=3",1
gi_diarrhea,c_diff,cd_3,"freq>=6",1
gi_diarrhea,travelers,td_1,"travel=true",2
gi_diarrhea,travelers,td_2,"dur<=7",1
gi_diarrhea,viral_gastro,neg_vg_blood,"blood=true",-4

gi_vomiting,gastroenteritis,ge_1,"fever=true",1
gi_vomiting,gastroenteritis,ge_2,"abdsev=true",1
gi_vomiting,gastroenteritis,ge_3,"dur<=3",1
gi_vomiting,gastritis,gas_1,"blood=false",1
gi_vomiting,gastritis,gas_2,"abdsev=false",1
gi_vomiting,pancreatitis_like,pan_1,"abdsev=true",2
gi_vomiting,pancreatitis_like,pan_2,"fever=true",1
gi_vomiting,pancreatitis_like,pan_3,"bilious=true",1
gi_vomiting,gastritis,neg_gas_blood,"blood=true",-5

gi_gi_bleeding,upper_gi,ug_1,"type=vomit_blood",3
gi_gi_bleeding,upper_gi,ug_2,"type=black_tarry",2
gi_gi_bleeding,lower_gi,lg_1,"type=bright_red_stool",3
gi_gi_bleeding,lower_gi,lg_2,"type=maroon",2
gi_gi_bleeding,upper_gi,neg_ug_brightred,"type=bright_red_stool",-2

gi_constipation,functional,fn_1,"dur>=3",1
gi_constipation,functional,fn_2,"abdsev=false",1
gi_constipation,functional,fn_3,"vomit=false",1
gi_constipation,obstruction,obs_1,"no_gas=true",3
gi_constipation,obstruction,obs_2,"vomit=true",2
gi_constipation,obstruction,obs_3,"abdsev=true",1
gi_constipation,functional,neg_fn_vomit,"vomit=true",-4

gi_jaundice,biliary_obstruction,bo_1,"dark_urine=true",2
gi_jaundice,biliary_obstruction,bo_2,"pain_ruq=true",2
gi_jaundice,biliary_obstruction,bo_3,"itch=true",1
gi_jaundice,hepatitis,hep_1,"fever=true",1
gi_jaundice,hepatitis,hep_2,"pain_ruq=false",1
gi_jaundice,hepatitis,neg_hep_ruq,"pain_ruq=true",-2

gi_dysphagia,gerd_esophagitis,ge_1,"odyn=true",1
gi_dysphagia,stricture,st_1,"weight_loss=false",1
gi_dysphagia,malignancy,mal_1,"weight_loss=true",3
gi_dysphagia,impaction,imp_1,"food_stuck=true",3
gi_dysphagia,malignancy,neg_mal_sudden,"food_stuck=true",-2

gi_acute_pancreatitis_like,pancreatitis,pan_1,"epi=true",2
gi_acute_pancreatitis_like,pancreatitis,pan_2,"back=true",2
gi_acute_pancreatitis_like,pancreatitis,pan_3,"vomit=true",1
gi_acute_pancreatitis_like,pancreatitis,pan_4,"alc=true",1
gi_acute_pancreatitis_like,pancreatitis,pan_5,"gall=true",1
gi_acute_pancreatitis_like,gastritis_ulcer,gas_1,"epi=true",1
gi_acute_pancreatitis_like,gastritis_ulcer,gas_2,"back=false",1
gi_acute_pancreatitis_like,biliary,bil_1,"gall=true",2
gi_acute_pancreatitis_like,biliary,bil_2,"fever=true",1
gi_acute_pancreatitis_like,gastritis_ulcer,neg_gas_back,"back=true",-3

neuro_headache,migraine,mg_1,"thunder=false",1
neuro_headache,migraine,mg_2,"neurodef=false",1
neuro_headache,tension,tn_1,"fever_neck=false",1
neuro_headache,sinus_related,sn_1,"thunder=false",1
neuro_headache,migraine,neg_mg_thunder,"thunder=true",-5

neuro_dizziness_vertigo,bppv,bp_1,"kind=spinning",2
neuro_dizziness_vertigo,bppv,bp_2,"neurodef=false",1
neuro_dizziness_vertigo,vestibular_neuritis,vn_1,"kind=spinning",1
neuro_dizziness_vertigo,vestibular_neuritis,vn_2,"vomit=true",1
neuro_dizziness_vertigo,meniere,me_1,"ear=true",3
neuro_dizziness_vertigo,bppv,neg_bp_neuro,"neurodef=true",-5

neuro_weakness_numbness,stroke_tia,st_1,"sudden=true",2
neuro_weakness_numbness,stroke_tia,st_2,"one_side=true",2
neuro_weakness_numbness,stroke_tia,st_3,"face_speech=true",2
neuro_weakness_numbness,spinal_process,sp_1,"spinal=true",3
neuro_weakness_numbness,peripheral,pp_1,"sudden=false",1
