CC_ID,TOKEN
cardio_leg_swelling,ANSWERS
cardio_leg_swelling,Q_LGSW_ONE_LEG
cardio_leg_swelling,YES
cardio_leg_swelling,Q_LGSW_PAIN
cardio_leg_swelling,Q_LGSW_RECENT_TRAVEL
cardio_leg_swelling,Q_LGSW_KNOWN_CHF
cardio_leg_swelling,Q_LGSW_FEVER_RED
cardio_leg_swelling,NO
cardio_leg_swelling,Q_LGSW_SOB
cardio_palpitations,ANSWERS
cardio_palpitations,Q_PALP_HR_VERY_FAST
cardio_palpitations,YES
cardio_palpitations,Q_PALP_SOB
cardio_palpitations,Q_PALP_STIMULANT
cardio_palpitations,Q_PALP_THYROID
cardio_palpitations,Q_PALP_CP
cardio_palpitations,NO
cardio_palpitations,Q_PALP_SYNCOPE
chest_pain,ANSWERS
chest_pain,Q_CP_EXERTIONAL
chest_pain,YES
chest_pain,Q_CP_RADIATES
chest_pain,Q_CP_DIAPHORESIS
chest_pain,Q_CP_PLEURITIC
chest_pain,Q_CP_SOB
chest_pain,Q_CP_CALF_SWELL
chest_pain,Q_CP_IMMOBILITY
chest_pain,Q_CP_TEARING
chest_pain,Q_CP_NEURO
chest_pain,Q_CP_SYNCOPE
chest_pain,Q_CP_HTN_SYMPTOMS
chest_pain,REDFLAGGATE
chest_pain,GATERESULT
chest_pain,Q_CP_WORSE_FLAT
chest_pain,Q_CP_RECENT_VIRAL
chest_pain,Q_CP_FEVER
chest_pain,Q_CP_COUGH
chest_pain,Q_CP_BURNING
chest_pain,Q_CP_ANTACID_RELIEF
chest_pain,Q_CP_STRESS_TRIGGER
chest_pain,Q_CP_TINGLING
chest_pain,Q_CP_REPRODUCIBLE
cough,ANSWERS
cough,Q_C_PAIN
cough,YES
cough,Q_C_FEVER
cough,Q_C_SOB
cough,REDFLAGGATE
cough,GATERESULT
cough,SCORES
cough,CL_C_PRIMARY
dental_pain,ANSWERS
dental_pain,Q_DP_PAIN
dental_pain,YES
dental_pain,Q_DP_FEVER
dental_pain,Q_DP_SOB
dental_pain,REDFLAGGATE
dental_pain,GATERESULT
dental_pain,SCORES
dental_pain,CL_DP_PRIMARY
derm_allergic_reaction,ANSWERS
derm_allergic_reaction,Q_DALRG_HIVES
derm_allergic_reaction,YES
derm_allergic_reaction,Q_DALRG_LIP_TONGUE
derm_allergic_reaction,Q_DALRG_THROAT
derm_allergic_reaction,Q_DALRG_SOB
derm_allergic_reaction,Q_DALRG_TRIGGER
derm_allergic_reaction,NO
derm_allergic_reaction,Q_DALRG_VOMIT
derm_cellulitis,ANSWERS
derm_cellulitis,Q_DCELL_SPREADING
derm_cellulitis,YES
derm_cellulitis,Q_DCELL_FEVER
derm_cellulitis,Q_DCELL_PUS
derm_cellulitis,Q_DCELL_PAIN_OUT
derm_cellulitis,Q_DCELL_IMMUNO
derm_cellulitis,NO
derm_cellulitis,Q_DCELL_FACE_EYE
derm_rash,ANSWERS
derm_rash,Q_DRSH_NEW_MED
derm_rash,YES
derm_rash,Q_DRSH_MUCOSAL
derm_rash,Q_DRSH_BLISTER
derm_rash,Q_DRSH_PAINFUL
derm_rash,NO
derm_rash,Q_DRSH_FEVER
derm_rash,Q_DRSH_PURPLE
derm_rash,Q_DRSH_MENINGITIS_SYMPTOMS
derm_rash,Q_DRSH_HYPOTENSION_LIKE
derm_rash,Q_DRSH_ARTHRALGIA
derm_rash,Q_DRSH_TICK_EXPOSURE
derm_rash,Q_RASH_MUCOSAL
derm_rash,Q_RASH_PAIN_OVER_ITCH
dizziness,ANSWERS
dizziness,Q_DZ_FOCAL_NEURO
dizziness,YES
dizziness,Q_DZ_FACIAL_DROOP
dizziness,Q_DZ_SPEECH
dizziness,Q_DZ_DIPLOPIA
dizziness,Q_DZ_GAIT
dizziness,Q_DZ_SYNCOPE
dizziness,Q_DZ_PALPITATIONS
dizziness,Q_DZ_HEADACHE
dizziness,Q_DZ_NECK_STIFF
dizziness,Q_DZ_MELENA
dizziness,Q_HA_NEURO_DEFICIT
dizziness,Q_HA_SEIZURE
dizziness,REDFLAGGATE
dizziness,GATERESULT
dizziness,Q_DZ_DIABETIC
dizziness,Q_DZ_SWEATING
dizziness,Q_DZ_STANDS_WORSE
dizziness,Q_DZ_POOR_INTAKE
dizziness,Q_DZ_NEW_MED
dizziness,Q_DZ_SPINNING
dizziness,Q_DZ_PROLONGED
dizziness,Q_DZ_RECENT_VIRAL
dizziness,Q_DZ_POSITIONAL
dizziness,Q_DZ_BRIEF
earache,ANSWERS
earache,Q_EA_MASTOID_PAIN
earache,YES
earache,Q_EA_FEVER
earache,Q_EA_SEVERE_PAIN
earache,Q_EA_FACIAL_WEAKNESS
earache,Q_EA_NEURO
earache,Q_EA_TRAUMA
earache,Q_EA_DRAINAGE
earache,Q_EA_NECK_SWELLING
earache,MODIFIERS
earache,IMMUNOCOMPROMISED
earache,REDFLAGGATE
earache,GATERESULT
earache,Q_EA_TRAGUS_TENDER
earache,Q_EA_URI
earache,Q_EA_HEARING_LOSS
earache,Q_EA_JAW_PAIN
earache,Q_EA_CHEWING_WORSE
earache,Q_EA_BLOCKED_EAR
endo_hyperglycemia,ANSWERS
endo_hyperglycemia,Q_EHYPR_CONFUSION
endo_hyperglycemia,YES
endo_hyperglycemia,Q_EHYPR_RAPID_BREATH
endo_hyperglycemia,Q_EHYPR_FRUITY_BREATH
endo_hyperglycemia,Q_EHYPR_VOMIT
endo_hyperglycemia,Q_EHYPR_MISSED_INSULIN
endo_hyperglycemia,Q_EHYPR_INFECTION
endo_hyperglycemia,Q_EHYPR_KNOWN_DM
endo_hyperglycemia,Q_EHYPR_POLYURIA
endo_hyperglycemia,Q_EHYPR_POLYDIPSIA
endo_hyperglycemia,Q_EHYPR_ABD_PAIN
endo_hypoglycemia,ANSWERS
endo_hypoglycemia,Q_EHYPO_SYNCOPE
endo_hypoglycemia,YES
endo_hypoglycemia,Q_EHYPO_CONFUSION
endo_hypoglycemia,Q_EHYPO_UNABLE_PO
endo_hypoglycemia,Q_EHYPO_SWEAT_SHAKE
endo_hypoglycemia,Q_EHYPO_KNOWN_DM
endo_hypoglycemia,Q_EHYPO_RECURRENT
endo_thyroid_symptoms,ANSWERS
endo_thyroid_symptoms,Q_ETHYR_TACHY
endo_thyroid_symptoms,YES
endo_thyroid_symptoms,Q_ETHYR_WEIGHT_LOSS
endo_thyroid_symptoms,Q_ETHYR_TREMOR
endo_thyroid_symptoms,Q_ETHYR_WEIGHT_GAIN
endo_thyroid_symptoms,Q_ETHYR_FATIGUE
endo_thyroid_symptoms,Q_ETHYR_FEVER_DELIRIUM
endo_thyroid_symptoms,Q_ETHYR_CP_SOB
endo_thyroid_symptoms,NO
ent_ear_pain,ANSWERS
ent_ear_pain,Q_EAR_PAIN_PINNA
ent_ear_pain,YES
ent_ear_pain,Q_EAR_SWIM
ent_ear_pain,Q_EAR_FEVER
ent_ear_pain,Q_EAR_HEARING
ent_ear_pain,Q_EAR_DUR
ent_ear_pain,Q_EAR_DRAIN
ent_ear_pain,Q_EAR_MASTOID
ent_ear_pain,Q_EAR_VERTIGO
ent_ear_pain,REDFLAGGATE
ent_ear_pain,GATERESULT
ent_epistaxis,ANSWERS
ent_epistaxis,Q_EPIX_ACTIVE
ent_epistaxis,YES
ent_epistaxis,Q_EPIX_DURATION
ent_epistaxis,Q_EPIX_HEAVY
ent_epistaxis,Q_EPIX_BLOOD_THINNER
ent_epistaxis,REDFLAGGATE
ent_epistaxis,GATERESULT
ent_epistaxis,Q_EPIX_TRAUMA
ent_nasal_congestion,ANSWERS
ent_nasal_congestion,Q_NC_DUR
ent_nasal_congestion,Q_NC_FEVER
ent_nasal_congestion,YES
ent_nasal_congestion,Q_NC_ITCH
ent_nasal_congestion,Q_NC_WATERY
ent_nasal_congestion,NO
ent_nasal_congestion,Q_NC_PURULENT
ent_nasal_congestion,Q_NC_FACIAL
ent_nasal_congestion,Q_NC_INFANT
ent_nasal_congestion,Q_NC_SOB
ent_nasal_congestion,REDFLAGGATE
ent_nasal_congestion,GATERESULT
ent_sinus_pressure,ANSWERS
ent_sinus_pressure,Q_SINUS_DUR
ent_sinus_pressure,Q_SINUS_FEVER
ent_sinus_pressure,NO
ent_sinus_pressure,Q_SINUS_PURULENT
ent_sinus_pressure,Q_SINUS_WORSE_AFTER_IMPROVE
ent_sinus_pressure,YES
ent_sinus_pressure,Q_SINUS_SEVERE_FACIAL
ent_sinus_pressure,Q_EYE_SWELL
ent_sinus_pressure,Q_VISION_CHANGES
ent_sinus_pressure,Q_SINUS_HEADACHE_SEVERE
ent_sinus_pressure,Q_NECK_STIFF
ent_sinus_pressure,REDFLAGGATE
ent_sinus_pressure,GATERESULT
ent_sore_throat,ANSWERS
ent_sore_throat,Q_ST_DROOL
ent_sore_throat,YES
ent_sore_throat,Q_ST_SOB
ent_sore_throat,Q_ST_VACC_HIB
ent_sore_throat,NO
ent_sore_throat,Q_ST_TRISMUS
ent_sore_throat,Q_ST_UVULA_DEV
ent_sore_throat,Q_ST_FEVER
ent_sore_throat,Q_ST_COUGH
ent_sore_throat,Q_ST_EXUDATE
ent_sore_throat,Q_ST_TENDER_NODES
ent_sore_throat,Q_ST_MONO
ent_sore_throat,REDFLAGGATE
ent_sore_throat,GATERESULT
ent_sore_throat,Q_ST_DUR
environmental_heat_illness,ANSWERS
environmental_heat_illness,Q_ENVH_AMS
environmental_heat_illness,YES
environmental_heat_illness,Q_ENVH_CORE_TEMP_HIGH
environmental_heat_illness,Q_ENVH_ANHIDROSIS
environmental_heat_illness,Q_ENVH_SYNCOPE
environmental_heat_illness,Q_ENVH_EXERTIONAL
environmental_heat_illness,Q_ENVH_DEHYDRATION
environmental_heat_illness,Q_ENVH_CRAMPS
environmental_heat_illness,Q_ENVH_CARDIAC
environmental_hypothermia_cold_exposure,ANSWERS
environmental_hypothermia_cold_exposure,Q_ENVC_CONFUSION
environmental_hypothermia_cold_exposure,YES
environmental_hypothermia_cold_exposure,Q_ENVC_SHIVER_STOP
environmental_hypothermia_cold_exposure,Q_ENVC_COLLAPSE
environmental_hypothermia_cold_exposure,Q_ENVC_FROSTBITE
environmental_hypothermia_cold_exposure,Q_ENVC_WET_EXPOSURE
environmental_hypothermia_cold_exposure,Q_ENVC_INTOX
environmental_hypothermia_cold_exposure,Q_ENVC_CARDIAC
general_fatigue,ANSWERS
general_fatigue,Q_GFAT_FEVER
general_fatigue,YES
general_fatigue,Q_GFAT_BLEEDING
general_fatigue,Q_GFAT_CP_SOB
general_fatigue,Q_GFAT_SYNCOPE
general_fatigue,Q_GFAT_WEIGHT_LOSS
general_fatigue,NO
general_fatigue,Q_GFAT_DEPRESSION_SI
general_generalized_weakness,ANSWERS
general_generalized_weakness,Q_GWEAK_FOCAL
general_generalized_weakness,YES
general_generalized_weakness,Q_GWEAK_FEVER
general_generalized_weakness,Q_GWEAK_DEHYD
general_generalized_weakness,Q_GWEAK_LOW_GLUCOSE
general_generalized_weakness,NO
general_generalized_weakness,Q_GWEAK_CP_SOB
general_generalized_weakness,Q_GWEAK_FALL
general_nausea_malaise,ANSWERS
general_nausea_malaise,Q_GNAUS_DEHYD
general_nausea_malaise,NO
general_nausea_malaise,Q_GNAUS_BLOOD
general_nausea_malaise,Q_GNAUS_CP
general_nausea_malaise,YES
general_nausea_malaise,Q_GNAUS_SOB
general_nausea_malaise,Q_GNAUS_PREG
general_nausea_malaise,Q_GNAUS_ABDSEV
gi_abdominal_pain,ANSWERS
gi_abdominal_pain,Q_ABD_VOMIT
gi_abdominal_pain,YES
gi_abdominal_pain,Q_ABD_FEVER
gi_abdominal_pain,Q_ABD_LOC
gi_abdominal_pain,DIFFUSE
gi_abdominal_pain,RLQ
gi_abdominal_pain,Q_ABD_MIGRATION_RLQ
gi_abdominal_pain,Q_ABD_ANOREXIA
gi_abdominal_pain,RUQ
gi_abdominal_pain,Q_ABD_RUQ_FATTY
gi_abdominal_pain,Q_ABD_MURPHY
gi_abdominal_pain,LLQ
gi_abdominal_pain,Q_ABD_CHANGE_BOWEL
gi_abdominal_pain,EPIGASTRIC
gi_abdominal_pain,Q_ABD_BACK_RAD
gi_abdominal_pain,Q_ABD_ALCOHOL
gi_abdominal_pain,Q_ABD_SEV
gi_abdominal_pain,Q_ABD_PRIOR_SURG
gi_abdominal_pain,Q_ABD_PERITONEAL
gi_abdominal_pain,Q_ABD_BLOOD
gi_abdominal_pain,Q_ABD_PREG
gi_abdominal_pain,Q_ABD_ONSET
gi_abdominal_pain,SUDDEN
gi_abdominal_pain,Q_ABD_CHEST
gi_abdominal_pain,Q_ABD_TESTIS
gi_acute_pancreatitis_like,ANSWERS
gi_acute_pancreatitis_like,Q_PANC_EPI
gi_acute_pancreatitis_like,YES
gi_acute_pancreatitis_like,Q_PANC_BACK
gi_acute_pancreatitis_like,Q_PANC_VOMIT
gi_acute_pancreatitis_like,Q_PANC_ALC
gi_acute_pancreatitis_like,Q_PANC_GALL
gi_acute_pancreatitis_like,NO
gi_acute_pancreatitis_like,Q_PANC_FEVER
gi_acute_pancreatitis_like,Q_PANC_SEV
gi_constipation,ANSWERS
gi_constipation,Q_CONST_DUR
gi_constipation,Q_CONST_ABDSEV
gi_constipation,NO
gi_constipation,Q_CONST_VOMIT
gi_constipation,Q_CONST_NO_GAS
gi_constipation,YES
gi_constipation,Q_CONST_FEVER
gi_constipation,Q_CONST_BLOOD
gi_diarrhea,ANSWERS
gi_diarrhea,Q_DIARR_DUR
gi_diarrhea,Q_DIARR_BLOOD
gi_diarrhea,NO
gi_diarrhea,Q_DIARR_FEVER
gi_diarrhea,YES
gi_diarrhea,Q_DIARR_ABDSEV
gi_diarrhea,Q_DIARR_ABX
gi_diarrhea,Q_DIARR_FREQ
gi_diarrhea,Q_DIARR_TRAVEL
gi_diarrhea,Q_DIARR_IMMUNO
gi_diarrhea,Q_DIARR_DEHYD
gi_dysphagia,ANSWERS
gi_dysphagia,Q_DYSPH_ODYN
gi_dysphagia,YES
gi_dysphagia,Q_DYSPH_WEIGHT_LOSS
gi_dysphagia,NO
gi_dysphagia,Q_DYSPH_FOOD_STUCK
gi_dysphagia,Q_DYSPH_SOB
gi_dysphagia,Q_DYSPH_DROOL
gi_dysphagia,Q_DYSPH_CHEST_PAIN
gi_gi_bleeding,ANSWERS
gi_gi_bleeding,Q_GIB_TYPE
gi_gi_bleeding,VOMIT_BLOOD
gi_gi_bleeding,BLACK_TARRY
gi_gi_bleeding,BRIGHT_RED_STOOL
gi_gi_bleeding,MAROON
gi_gi_bleeding,Q_GIB_HEAVY
gi_gi_bleeding,YES
gi_gi_bleeding,Q_GIB_FAINT
gi_gi_bleeding,Q_GIB_CP
gi_gi_bleeding,Q_GIB_BLOOD_THINNER
gi_gi_bleeding,Q_GIB_ABDSEV
gi_jaundice,ANSWERS
gi_jaundice,Q_JAUND_DARK_URINE
gi_jaundice,YES
gi_jaundice,Q_JAUND_PAIN_RUQ
gi_jaundice,Q_JAUND_ITCH
gi_jaundice,Q_JAUND_FEVER
gi_jaundice,NO
gi_jaundice,Q_JAUND_CONFUSION
gi_jaundice,Q_JAUND_BLEED
gi_vomiting,ANSWERS
gi_vomiting,Q_VOM_FEVER
gi_vomiting,YES
gi_vomiting,Q_VOM_ABDSEV
gi_vomiting,Q_VOM_DUR
gi_vomiting,Q_VOM_BLOOD
gi_vomiting,NO
gi_vomiting,Q_VOM_BILIOUS
gi_vomiting,Q_VOM_NEURO
gi_vomiting,Q_VOM_DEHYD
gi_vomiting,Q_VOM_PREG
gu_dysuria_uti,ANSWERS
gu_dysuria_uti,Q_DUTI_FEVER
gu_dysuria_uti,NO
gu_dysuria_uti,Q_DUTI_FLANK
gu_dysuria_uti,YES
gu_dysuria_uti,Q_DUTI_DISCHARGE
gu_dysuria_uti,Q_DUTI_PREG
gu_dysuria_uti,Q_DUTI_VOMIT
gu_dysuria_uti,Q_DUTI_MALE
gu_flank_pain,ANSWERS
gu_flank_pain,Q_FLNK_HEMATURIA
gu_flank_pain,YES
gu_flank_pain,Q_FLNK_COLICKY
gu_flank_pain,Q_FLNK_STONE_HX
gu_flank_pain,Q_FLNK_FEVER
gu_flank_pain,NO
gu_flank_pain,Q_FLNK_URINARY
gu_flank_pain,Q_FLNK_CVA
gu_flank_pain,Q_FLNK_RIGORS
gu_flank_pain,Q_FLNK_IMMUNO
gu_flank_pain,Q_FLNK_TRAUMA
gu_flank_pain,Q_FLNK_UNABLE_PO
gu_flank_pain,Q_FLNK_VOMIT
gu_flank_pain,Q_FLNK_PREG
gu_flank_pain,REDFLAGGATE
gu_flank_pain,GATERESULT
gu_hematuria,ANSWERS
gu_hematuria,Q_HEMU_STONE_PAIN
gu_hematuria,YES
gu_hematuria,Q_HEMU_FEVER
gu_hematuria,NO
gu_hematuria,Q_HEMU_BLOOD_THINNER
gu_hematuria,Q_HEMU_CLOTS
gu_hematuria,Q_HEMU_TRAUMA
gu_pelvic_pain_possible_ovarian_torsion,ANSWERS
gu_pelvic_pain_possible_ovarian_torsion,Q_PPOT_SUDDEN
gu_pelvic_pain_possible_ovarian_torsion,YES
gu_pelvic_pain_possible_ovarian_torsion,Q_PPOT_VOMIT
gu_pelvic_pain_possible_ovarian_torsion,Q_PPOT_PREG
gu_pelvic_pain_possible_ovarian_torsion,Q_PPOT_BLEED
gu_pelvic_pain_possible_ovarian_torsion,Q_PPOT_FEVER
gu_pelvic_pain_possible_ovarian_torsion,Q_PPOT_DISCHARGE
gu_sti_exposure_discharge,ANSWERS
gu_sti_exposure_discharge,Q_STID_ULCERS
gu_sti_exposure_discharge,NO
gu_sti_exposure_discharge,YES
gu_sti_exposure_discharge,Q_STID_PELVIC
gu_sti_exposure_discharge,Q_STID_FEVER
gu_sti_exposure_discharge,Q_STID_TESTIS
gu_sti_exposure_discharge,Q_STID_ASSAULT
gu_sti_exposure_discharge,Q_STID_PREG
gu_testicular_pain,ANSWERS
gu_testicular_pain,Q_TPAIN_SUDDEN
gu_testicular_pain,YES
gu_testicular_pain,Q_TPAIN_HIGH_RIDING
gu_testicular_pain,Q_TPAIN_NAUSEA
gu_testicular_pain,Q_TPAIN_FEVER
gu_testicular_pain,Q_TPAIN_DISCHARGE
gu_testicular_pain,Q_TPAIN_TRAUMA
gu_testicular_pain_prostatitis,ANSWERS
gu_testicular_pain_prostatitis,Q_TP_SUDDEN_ONSET
gu_testicular_pain_prostatitis,YES
gu_testicular_pain_prostatitis,Q_TP_SEVERE_PAIN
gu_testicular_pain_prostatitis,Q_TP_UNILATERAL
gu_testicular_pain_prostatitis,Q_TP_HIGH_RIDING
gu_testicular_pain_prostatitis,Q_TP_NAUSEA
gu_testicular_pain_prostatitis,Q_TP_VOMITING
gu_testicular_pain_prostatitis,Q_TP_DYSURIA
gu_testicular_pain_prostatitis,Q_TP_DISCHARGE
gu_testicular_pain_prostatitis,Q_TP_NEW_PARTNER
gu_testicular_pain_prostatitis,NO
gu_testicular_pain_prostatitis,Q_TP_OLDER_AGE
gu_testicular_pain_prostatitis,Q_TP_URINARY_SX
gu_testicular_pain_prostatitis,Q_TP_FEVER
gu_testicular_pain_prostatitis,Q_TP_SKIN_CHANGES
gu_testicular_pain_prostatitis,Q_TP_CREPITUS
gu_testicular_pain_prostatitis,Q_TP_GROIN_BULGE
gu_testicular_pain_prostatitis,Q_TP_OBSTRUCTION_SX
gu_testicular_pain_prostatitis,Q_TP_PERINEAL_PAIN
gu_testicular_pain_prostatitis,Q_TP_RETENTION
gu_testicular_pain_prostatitis,Q_TP_TRAUMA
gu_testicular_pain_prostatitis,Q_TP_SWELLING
gu_testicular_pain_prostatitis,Q_TP_CHRONIC
gu_testicular_pain_prostatitis,Q_TP_WORSE_STANDING
gu_testicular_pain_prostatitis,Q_TP_FLANK_GROIN
gu_testicular_pain_prostatitis,Q_TP_HEMATURIA
gu_testicular_pain_prostatitis,REDFLAGGATE
gu_testicular_pain_prostatitis,GATERESULT
gu_urinary_retention,ANSWERS
gu_urinary_retention,Q_URET_UNABLE
gu_urinary_retention,YES
gu_urinary_retention,Q_URET_FEVER
gu_urinary_retention,NO
gu_urinary_retention,Q_URET_NEURO
gu_urinary_retention,Q_URET_BLOOD
gu_urinary_retention,Q_URET_PAIN
gu_uti_symptoms,ANSWERS
gu_uti_symptoms,Q_UTI_DYSURIA
gu_uti_symptoms,YES
gu_uti_symptoms,Q_UTI_FREQUENCY
gu_uti_symptoms,Q_UTI_URGENCY
gu_uti_symptoms,Q_UTI_FEVER
gu_uti_symptoms,NO
gu_uti_symptoms,Q_UTI_FLANK_PAIN
gu_uti_symptoms,Q_UTI_CHILLS
gu_uti_symptoms,Q_UTI_NAUSEA
gu_uti_symptoms,Q_UTI_VOMITING
gu_uti_symptoms,Q_UTI_CONFUSION
gu_uti_symptoms,Q_UTI_WEAKNESS
gu_uti_symptoms,Q_UTI_PREGNANT
gu_uti_symptoms,Q_UTI_MALE
gu_uti_symptoms,Q_UTI_IMMUNOCOMPROMISED
gu_uti_symptoms,Q_UTI_GROSS_HEMATURIA
gu_uti_symptoms,Q_UTI_CLOTS
gu_uti_symptoms,Q_UTI_RETENTION
gu_uti_symptoms,Q_UTI_COLICKY_PAIN
gu_uti_symptoms,Q_UTI_GROIN_RADIATION
gu_uti_symptoms,Q_UTI_DISCHARGE
gu_uti_symptoms,Q_UTI_NEW_PARTNER
gu_uti_symptoms,Q_UTI_GENITAL_LESIONS
gu_uti_symptoms,REDFLAGGATE
gu_uti_symptoms,GATERESULT
gu_vaginal_bleeding,ANSWERS
gu_vaginal_bleeding,Q_VBLD_PREG
gu_vaginal_bleeding,YES
gu_vaginal_bleeding,Q_VBLD_HEAVY
gu_vaginal_bleeding,NO
gu_vaginal_bleeding,Q_VBLD_FAINT
gu_vaginal_bleeding,Q_VBLD_POSTPARTUM
gu_vaginal_bleeding,Q_VBLD_PAIN
gyn_pelvic_pain,ANSWERS
gyn_pelvic_pain,Q_PP_PREGNANT
gyn_pelvic_pain,YES
gyn_pelvic_pain,Q_PP_MISSED_PERIOD
gyn_pelvic_pain,Q_PP_VAGINAL_BLEEDING
gyn_pelvic_pain,Q_PP_DIZZINESS
gyn_pelvic_pain,Q_PP_HYPOTENSION
gyn_pelvic_pain,Q_PP_SUDDEN_ONSET
gyn_pelvic_pain,Q_PP_SEVERE_UNILATERAL
gyn_pelvic_pain,Q_PP_NAUSEA
gyn_pelvic_pain,Q_PP_VOMITING
gyn_pelvic_pain,Q_PP_FEVER
gyn_pelvic_pain,Q_PP_DISCHARGE
gyn_pelvic_pain,Q_PP_STI_RISK
gyn_pelvic_pain,Q_PP_PELVIC_PAIN
gyn_pelvic_pain,Q_PP_AFTER_ACTIVITY
gyn_pelvic_pain,Q_PP_RESOLVING
gyn_pelvic_pain,NO
gyn_pelvic_pain,Q_PP_CYCLICAL
gyn_pelvic_pain,Q_PP_MENSES_RELATED
gyn_pelvic_pain,Q_PP_HEAVY_BLEEDING
gyn_pelvic_pain,Q_PP_PELVIC_PRESSURE
gyn_pelvic_pain,Q_PP_DYSURIA
gyn_pelvic_pain,Q_PP_FREQUENCY
gyn_pelvic_pain,Q_PP_RLQ_PAIN
gyn_pelvic_pain,Q_PP_ANOREXIA
gyn_pelvic_pain,Q_PP_CONFUSION
gyn_pelvic_pain,REDFLAGGATE
gyn_pelvic_pain,GATERESULT
headache,ANSWERS
headache,Q_HA_NEURO_DEFICIT
headache,YES
headache,Q_HA_SEIZURE
id_animal_bite_wound_infection,ANSWERS
id_animal_bite_wound_infection,Q_IDBW_SPREADING
id_animal_bite_wound_infection,YES
id_animal_bite_wound_infection,Q_IDBW_FEVER
id_animal_bite_wound_infection,Q_IDBW_DEEP
id_animal_bite_wound_infection,Q_IDBW_PAIN_OUT
id_animal_bite_wound_infection,Q_IDBW_RABIES_RISK
id_animal_bite_wound_infection,NO
id_animal_bite_wound_infection,Q_IDBW_IMMUNO
id_fever,ANSWERS
id_fever,Q_IDF_NECK_STIFF
id_fever,YES
id_fever,Q_IDF_CONFUSION
id_fever,NO
id_fever,Q_IDF_IMMUNO
id_fever,Q_IDF_CHEMO_RECENT
id_fever,Q_IDF_SEVERE_CHILLS
id_fever,Q_IDF_COUGH_PRESENT
id_fever,Q_IDF_SOB
id_fever,Q_IDF_URINARY_SYMPTOMS
id_fever,Q_IDF_SKIN_WOUND
id_fever,Q_IDF_RASH_PURPLE
id_fever,Q_IDF_TEMP_HIGH
id_flu_like,ANSWERS
id_flu_like,Q_IDFL_FEVER
id_flu_like,YES
id_flu_like,NO
id_flu_like,Q_IDFL_SOB
id_flu_like,Q_IDFL_CP
id_flu_like,Q_IDFL_HIGH_RISK
id_flu_like,Q_IDFL_SYMPTOM_DAYS_5PLUS
id_flu_like,Q_IDFL_DEHYD
insomnia,ANSWERS
insomnia,Q_I_PAIN
insomnia,YES
insomnia,Q_I_FEVER
insomnia,Q_I_SOB
insomnia,REDFLAGGATE
insomnia,GATERESULT
insomnia,SCORES
insomnia,CL_I_PRIMARY
msk_back_pain,ANSWERS
msk_back_pain,Q_BKPN_SADDLE
msk_back_pain,YES
msk_back_pain,Q_BKPN_WEAK
msk_back_pain,NO
msk_back_pain,Q_BKPN_FEVER
msk_back_pain,Q_BKPN_IVDU
msk_back_pain,Q_BKPN_RECENT_INFECTION
msk_back_pain,Q_BKPN_PAIN_SEVERE
msk_back_pain,Q_BKPN_TRAUMA
msk_back_pain,Q_BKPN_CANCER
msk_back_pain,Q_BKPN_NIGHT_PAIN
msk_back_pain,Q_BKPN_LEG_PAIN_BELOW_KNEE
msk_back_pain,Q_BKPN_DERMATOMAL_NUMBNESS
msk_back_pain,Q_BKPN_WORSE_COUGH_SNEEZE
msk_joint_pain,ANSWERS
msk_joint_pain,Q_JTPN_HOT
