CC_ID,TOP1_DX,TOP1_SCORE,TOP2_DX,TOP2_SCORE,SCORE_GAP,FLAGS
neuro_seizure,Status epilepticus,2.5,First seizure,2,0.5,LOW_GAP
neuro_syncope,Exertional,1.5,Bleeding signs,1.5,0,LOW_GAP;TIES
neuro_weakness_numbness,Spinal signs,1.5,Sudden onset,1,0.5,LOW_GAP
ophtho_eye_pain_foreign_body,chemical_injury rule 4,2.5,foreign_body rule 1,1.5,1,LOW_GAP
ophtho_red_eye,trauma or chemical exposure,6,contact lens wearer,2.7,3.3,LOW_GAP
ophtho_vision_loss,stroke_visual rule 4,2.5,traumatic_injury rule 5,2.5,0,LOW_GAP;TIES
ortho_trauma_fracture_dislocation,open_fracture rule 3,3,nv_compromise rule 4,3,0,LOW_GAP;TIES
ortho_trauma_head_injury,Neurodeficit present,6,Blood thinner present,3.8,2.2,LOW_GAP
ortho_trauma_laceration,tendon_nerve_injury rule 3,2.5,needs_repair rule 2,1.5,1,LOW_GAP
psych_agitation_psychosis,delirium_medical rule 1,2.5,acute_psychosis rule 1,2,0.5,LOW_GAP
psych_anxiety_panic,Syncope,4,New neuro symptoms,4,0,LOW_GAP;TIES
psych_depression_suicidal_ideation,suicide_risk rule 1,2,suicide_risk rule 2,2,0,LOW_GAP;TIES
pulm_chest_tightness,Wheezing,2,Fever,2,0,LOW_GAP;TIES
pulm_cough,Fever,4,Wheezing,3.6,0.3999999999999999,LOW_GAP
pulm_hemoptysis,Fever,2,DVT/PE risk,2,0,LOW_GAP;TIES
pulm_shortness_of_breath,Wheezing,2,Fever,2,0,LOW_GAP;TIES
pulm_wheezing,Allergic symptoms,5,Known trigger,1.5,3.5,LOW_GAP
sinus_pressure,Viral Rhinosinusitis (benign - auto-generated),0.3,No pain or fever,0.09,0.21,LOW_GAP
sore_throat,Postnasal Drip (benign - auto-generated),0.3,,0,0.3,LOW_GAP
tox_overdose_intoxication,opioid resp depression,6,serotonin tremor/clonus,3.8,2.2,LOW_GAP
tox_poisoning_exposure,corrosive_injury rule 1,2.5,inhalation_injury rule 2,2.5,0,LOW_GAP;TIES
tox_withdrawal,severe_withdrawal rule 3,3,severe_withdrawal rule 1,2.5,0.5,LOW_GAP
