CC_ID,Q_ID,ANSWER_TYPE,SOURCE_FAMILY,PROFILE_ID
chest_pain,Q_CP_ONE_SIDED_PAIN,tri,CARD_CHEST_PAIN,CARD_CP_V3
chest_pain,Q_CP_PLEURITIC,tri,CARD_CHEST_PAIN,CARD_CP_V3
chest_pain,Q_CP_RADIATION,tri,CARD_CHEST_PAIN,CARD_CP_V3
chest_pain,Q_CP_SOB,tri,CARD_CHEST_PAIN,CARD_CP_V3
cough,Q_C_CHEST_PAIN,tri,PULM_COUGH,PULM_COUGH_V3
cough,Q_C_DURATION_DAYS,number,PULM_COUGH,PULM_COUGH_V3
cough,Q_C_FEVER,tri,PULM_COUGH,PULM_COUGH_V3
cough,Q_C_SOB,tri,PULM_COUGH,PULM_COUGH_V3
cough,Q_C_WHEEZE,tri,PULM_COUGH,PULM_COUGH_V3
derm_rash,Q_RASH_FEVER,tri,DERM_RASH,DERM_RASH_V1
derm_rash,Q_RASH_MUCOSAL,tri,DERM_RASH,DERM_RASH_V1
derm_rash,Q_RASH_PAIN_OVER_ITCH,tri,DERM_RASH,DERM_RASH_V1
derm_rash,Q_RASH_PALMS_SOLES,tri,DERM_RASH,DERM_RASH_V1
diarrhea,Q_DIARRHEA_BLOODY_STOOL,tri,GI_DIARRHEA,GI_DIARRHEA_V1
diarrhea,Q_DIARRHEA_DURATION_DAYS,number,GI_DIARRHEA,GI_DIARRHEA_V1
diarrhea,Q_DIARRHEA_FEVER,tri,GI_DIARRHEA,GI_DIARRHEA_V1
diarrhea,Q_DIARRHEA_SEVERE_PAIN,tri,GI_DIARRHEA,GI_DIARRHEA_V1
dysuria,Q_DYSURIA_FEVER,tri,GU_DYSURIA,GU_DYSURIA_V1
dysuria,Q_DYSURIA_FLANK_PAIN,tri,GU_DYSURIA,GU_DYSURIA_V1
dysuria,Q_DYSURIA_TESTICULAR_PAIN,tri,GU_DYSURIA,GU_DYSURIA_V1
dysuria,Q_DYSURIA_VAGINAL_DISCHARGE,tri,GU_DYSURIA,GU_DYSURIA_V1
gu_uti_symptoms,Q_DYSURIA_FEVER,tri,GU_DYSURIA,GU_DYSURIA_V1
gu_uti_symptoms,Q_DYSURIA_FLANK_PAIN,tri,GU_DYSURIA,GU_DYSURIA_V1
gu_uti_symptoms,Q_DYSURIA_TESTICULAR_PAIN,tri,GU_DYSURIA,GU_DYSURIA_V1
gu_uti_symptoms,Q_DYSURIA_VAGINAL_DISCHARGE,tri,GU_DYSURIA,GU_DYSURIA_V1
headache,Q_HA_FEVER,tri,NEURO_HEADACHE,NEURO_HA_V1
headache,Q_HA_NECK_STIFFNESS,tri,NEURO_HEADACHE,NEURO_HA_V1
headache,Q_HA_NEURO_DEFICIT,tri,NEURO_HEADACHE,NEURO_HA_V1
headache,Q_HA_WORST_HEADACHE,tri,NEURO_HEADACHE,NEURO_HA_V1
hyperglycemia,Q_GLU_ABD_PAIN,tri,ENDO_HYPERGLYCEMIA,ENDO_GLU_V1
hyperglycemia,Q_GLU_CONFUSION,tri,ENDO_HYPERGLYCEMIA,ENDO_GLU_V1
hyperglycemia,Q_GLU_DEHYDRATION,tri,ENDO_HYPERGLYCEMIA,ENDO_GLU_V1
hyperglycemia,Q_GLU_VOMITING,tri,ENDO_HYPERGLYCEMIA,ENDO_GLU_V1
nasal_congestion,Q_SP_DOUBLE_SICKENING,tri,ENT_SINUS,ENT_SINUS_V3
nasal_congestion,Q_SP_DURATION_DAYS,number,ENT_SINUS,ENT_SINUS_V3
nasal_congestion,Q_SP_FACIAL_PAIN,tri,ENT_SINUS,ENT_SINUS_V3
nasal_congestion,Q_SP_FEVER,tri,ENT_SINUS,ENT_SINUS_V3
nasal_congestion,Q_SP_ITCHY_EYES,tri,ENT_SINUS,ENT_SINUS_V3
nasal_congestion,Q_SP_RUNNY_NOSE,tri,ENT_SINUS,ENT_SINUS_V3
nasal_congestion,Q_SP_SNEEZING,tri,ENT_SINUS,ENT_SINUS_V3
sinus_pressure,Q_SP_DOUBLE_SICKENING,tri,ENT_SINUS,ENT_SINUS_V3
sinus_pressure,Q_SP_DURATION_DAYS,number,ENT_SINUS,ENT_SINUS_V3
sinus_pressure,Q_SP_FACIAL_PAIN,tri,ENT_SINUS,ENT_SINUS_V3
sinus_pressure,Q_SP_FEVER,tri,ENT_SINUS,ENT_SINUS_V3
sinus_pressure,Q_SP_ITCHY_EYES,tri,ENT_SINUS,ENT_SINUS_V3
sinus_pressure,Q_SP_RUNNY_NOSE,tri,ENT_SINUS,ENT_SINUS_V3
sinus_pressure,Q_SP_SNEEZING,tri,ENT_SINUS,ENT_SINUS_V3
sore_throat,Q_ST_COUGH,tri,ENT_SORE_THROAT,ENT_ST_V1
sore_throat,Q_ST_EXUDATE,tri,ENT_SORE_THROAT,ENT_ST_V1
sore_throat,Q_ST_FEVER,tri,ENT_SORE_THROAT,ENT_ST_V1
sore_throat,Q_ST_TENDER_ANT_CERVICAL,tri,ENT_SORE_THROAT,ENT_ST_V1
